score,target,id,method
0.998998998998999,0,1,beta
0.9990077033555295,1,1,beta
0.9990164077120599,1,1,beta
0.9990251120685903,1,1,beta
0.9990338164251208,1,1,beta
0.9990425207816512,1,1,beta
0.9990512251381817,1,1,beta
0.9990599294947121,1,1,beta
0.9990686338512426,1,1,beta
0.999077338207773,1,1,beta
0.9990860425643034,1,1,beta
0.9990947469208339,1,1,beta
0.9991034512773643,1,1,beta
0.9991121556338948,1,1,beta
0.9991208599904252,1,1,beta
0.9991295643469557,1,1,beta
0.9991382687034861,1,1,beta
0.9991469730600165,1,1,beta
0.999155677416547,1,1,beta
0.9991643817730774,1,1,beta
0.9991730861296079,1,1,beta
0.9991817904861383,1,1,beta
0.9991904948426688,1,1,beta
0.9991991991991992,1,1,beta
0.9992079035557296,1,1,beta
0.9992166079122601,1,1,beta
0.9992253122687905,1,1,beta
0.999234016625321,1,1,beta
0.9992427209818514,1,1,beta
0.9992514253383818,1,1,beta
0.9992601296949123,1,1,beta
0.9992688340514427,1,1,beta
0.9992775384079732,1,1,beta
0.9992862427645036,1,1,beta
0.9992949471210341,1,1,beta
0.9993036514775645,1,1,beta
0.999312355834095,1,1,beta
0.9993210601906254,1,1,beta
0.9993297645471558,1,1,beta
0.9993384689036863,1,1,beta
0.9993471732602167,1,1,beta
0.9993558776167472,1,1,beta
0.9993645819732776,1,1,beta
0.999373286329808,1,1,beta
0.9993819906863385,1,1,beta
0.9993906950428689,1,1,beta
0.9993993993993994,1,1,beta
0.9994081037559298,1,1,beta
0.9994168081124603,1,1,beta
0.9994255124689907,1,1,beta
0.9994342168255211,1,1,beta
0.9994429211820516,1,1,beta
0.999451625538582,1,1,beta
0.9994603298951125,1,1,beta
0.9994690342516429,1,1,beta
0.9994777386081733,1,1,beta
0.9994864429647038,1,1,beta
0.9994951473212342,1,1,beta
0.9995038516777648,1,1,beta
0.9995125560342952,1,1,beta
0.9995212603908257,1,1,beta
0.9995299647473561,1,1,beta
0.9995386691038866,1,1,beta
0.999547373460417,1,1,beta
0.9995560778169474,1,1,beta
0.9995647821734779,1,1,beta
0.9995734865300083,1,1,beta
0.9995821908865388,1,1,beta
0.9995908952430692,1,1,beta
0.9995995995995997,1,1,beta
0.9996083039561301,1,1,beta
0.9996170083126605,1,1,beta
0.999625712669191,1,1,beta
0.9996344170257214,1,1,beta
0.9996431213822519,1,1,beta
0.9996518257387823,1,1,beta
0.9996605300953127,1,1,beta
0.9996692344518432,1,1,beta
0.9996779388083736,1,1,beta
0.9996866431649041,1,1,beta
0.9996953475214345,1,1,beta
0.999704051877965,1,1,beta
0.9997127562344954,1,1,beta
0.9997214605910258,1,1,beta
0.9997301649475563,1,1,beta
0.9997388693040867,1,1,beta
0.9997475736606172,1,1,beta
0.9997562780171476,1,1,beta
0.9997649823736781,1,1,beta
0.9997736867302085,1,1,beta
0.9997823910867389,1,1,beta
0.9997910954432694,1,1,beta
0.9997997997997998,1,1,beta
0.9998085041563303,1,1,beta
0.9998172085128607,1,1,beta
0.9998259128693912,1,1,beta
0.9998346172259216,1,1,beta
0.999843321582452,1,1,beta
0.9998520259389825,1,1,beta
0.9998607302955129,1,1,beta
0.9998694346520434,1,1,beta
0.9998781390085738,1,1,beta
0.9998868433651042,1,1,beta
0.9998955477216347,1,1,beta
0.9999042520781651,1,1,beta
0.9999129564346956,1,1,beta
0.999921660791226,1,1,beta
0.9999303651477565,1,1,beta
0.9999390695042869,1,1,beta
0.9999477738608173,1,1,beta
0.9999564782173478,1,1,beta
0.9999651825738782,1,1,beta
0.9999738869304087,1,1,beta
0.9999825912869391,1,1,beta
0.9999912956434696,1,1,beta
1.0,1,1,beta
0.997997997997998,1,1,beta
